UNICODE,P,D,L,V,LATITUDE,LONGITUDE,block
1.8.2.31,1,8,2,31,-16.45411762,-71.5128247,NA
1.8.7.140,1,8,7,140,-16.44888097,-71.51548208,NA
1.8.9.165,1,8,9,165,-16.4472589,-71.51909626,NA
1.8.9.166,1,8,9,166,-16.44721548,-71.51902378,NA
1.8.14.147,1,8,14,147,-16.43234162,-71.51291963,NA
1.8.14.148,1,8,14,148,-16.43230501,-71.5129962,NA
1.8.14.158,1,8,14,158,-16.43248001,-71.51313805,NA
1.8.14.159,1,8,14,159,-16.43261899,-71.51324139,NA
1.8.14.160,1,8,14,160,-16.43257052,-71.51330853,NA
1.8.14.169,1,8,14,169,-16.43276748,-71.51350487,NA
1.8.14.170,1,8,14,170,-16.43282967,-71.51344542,NA
1.8.14.171,1,8,14,171,-16.43291605,-71.513404,NA
1.8.15.50,1,8,15,50,-16.43657405,-71.52855788,NA
1.8.15.51,1,8,15,51,-16.4366436,-71.52844081,NA
1.8.15.52,1,8,15,52,-16.4368547,-71.5283233,NA
1.8.15.69,1,8,15,69,-16.43673614,-71.5276211,NA
1.8.16.1,1,8,16,1,-16.43548321,-71.53078243,NA
1.8.18.225,1,8,18,225,-16.42778746,-71.54610709,NA
1.8.18.236,1,8,18,236,-16.42788768,-71.54602469,NA
1.8.19.6,1,8,19,6,-16.42896266,-71.54093844,NA
1.8.23.79,1,8,23,79,-16.43378419,-71.53363357,NA
1.8.27.6,1,8,27,6,-16.43164895,-71.51247129,NA
1.8.27.19,1,8,27,19,-16.4318474,-71.51260328,NA
1.8.27.20,1,8,27,20,-16.43197941,-71.51271487,NA
1.8.28.172,1,8,28,172,-16.43456406,-71.51664205,NA
1.8.30.143,1,8,30,143,-16.43122429,-71.51228251,NA
1.8.30.144,1,8,30,144,-16.43117866,-71.51222592,NA
1.8.30.145,1,8,30,145,-16.43113298,-71.51213341,NA
1.8.30.146,1,8,30,146,-16.43105093,-71.51213605,NA
1.8.30.147,1,8,30,147,-16.43097885,-71.51219666,NA
1.8.39.19,1,8,39,19,-16.42991365,-71.54302869,NA
1.8.39.20,1,8,39,20,-16.42990887,-71.54299227,NA
1.8.39.23,1,8,39,23,-16.42989503,-71.54270602,NA
